vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,workflow_state,parent_guids,mastery_points,ratings,,,,,,,
WA-SS-CIVICS,group,Civics,,,,,active,,,,,,,,,,
C1,group,"C1: Understands key ideals and principles of the United States, including those in the Declaration of Independence, Constitution, and other foundational documents.",,,,,active,WA-SS-CIVICS,,,,,,,,,
C1.6-8.3,outcome,C1.6-8.3,"Explain key ideals and principles outlined in the Declaration of Independence, including life, liberty, and the pursuit of happiness; the U.S. Constitution, including the rule of law, separation of powers, representative government, and popular sovereignty; and, the Bill of Rights, including due process and freedom of expression.",C1.6-8.3,highest,,active,C1,3,4,"Explains the ideals in the Declaration, Constitution, and Bill of Rights accurately and connects it to another example or to today.",3,"Explains the ideals in the Declaration, Constitution, and Bill of Rights accurately, using specific evidence.",2,"Identifies the ideals in the Declaration, Constitution, and Bill of Rights, but the explanation is partial or missing evidence.",1,"Names the ideals in the Declaration, Constitution, and Bill of Rights with support; cannot yet explain it independently."
C1.6-8.4,outcome,C1.6-8.4,Evaluate efforts to reduce discrepancies between key ideals and reality in the United States.,C1.6-8.4,highest,,active,C1,3,4,Evaluates efforts to close the gap between America’s ideals and reality and weighs more than one side before judging.,3,"Evaluates efforts to close the gap between America’s ideals and reality with a clear, evidence-based judgment.",2,States a judgment about efforts to close the gap between America’s ideals and reality with limited evidence.,1,Gives an opinion on efforts to close the gap between America’s ideals and reality without evidence; needs support.
C2,group,"C2: Understands the purposes, organization, and function of governments, laws, and political systems.",,,,,active,WA-SS-CIVICS,,,,,,,,,
C2.6-8.3,outcome,C2.6-8.3,Analyze the structure and powers of government at the national level.,C2.6-8.3,highest,,active,C2,3,4,Analyzes the structure and powers of the national government and explains how the parts or perspectives connect.,3,Analyzes the structure and powers of the national government using specific evidence.,2,"Describes the structure and powers of the national government, but the analysis is partial.",1,Retells the structure and powers of the national government without analysis; needs support.
C2.6-8.4,outcome,C2.6-8.4,Use knowledge of the function of government to analyze and address a political issue.,C2.6-8.4,highest,,active,C2,3,4,Analyzes a political issue using how government functions and explains how the parts or perspectives connect.,3,Analyzes a political issue using how government functions using specific evidence.,2,"Describes a political issue using how government functions, but the analysis is partial.",1,Retells a political issue using how government functions without analysis; needs support.
C2.6-8.5,outcome,C2.6-8.5,Evaluate the effectiveness of the system of checks and balances in the United States based on an event.,C2.6-8.5,highest,,active,C2,3,4,Evaluates how well checks and balances worked in a real event and weighs more than one side before judging.,3,"Evaluates how well checks and balances worked in a real event with a clear, evidence-based judgment.",2,States a judgment about how well checks and balances worked in a real event with limited evidence.,1,Gives an opinion on how well checks and balances worked in a real event without evidence; needs support.
C2.6-8.6,outcome,C2.6-8.6,Demonstrate that the U.S. government includes concepts of both a democracy and a republic.,C2.6-8.6,highest,,active,C2,3,4,Explains how the U.S. government is both a democracy and a republic accurately and connects it to another example or to today.,3,"Explains how the U.S. government is both a democracy and a republic accurately, using specific evidence.",2,"Identifies how the U.S. government is both a democracy and a republic, but the explanation is partial or missing evidence.",1,Names how the U.S. government is both a democracy and a republic with support; cannot yet explain it independently.
C3,group,C3: Understands the purposes and organization of tribal and international relationships and U.S. foreign policy.,,,,,active,WA-SS-CIVICS,,,,,,,,,
